Net,Component,Physical_pin,Column_zero_based,Row_zero_based,Connection_side
SUB,U_BINV1,1,101,49,top
B6,U_BINV1,2,102,49,top
BX6,U_BINV1,3,103,49,top
SUB,U_BINV1,4,104,49,top
B5,U_BINV1,5,105,49,top
BX5,U_BINV1,6,106,49,top
GND,U_BINV1,7,107,49,underneath
BX4,U_BINV1,8,107,46,top
SUB,U_BINV1,9,106,46,top
B4,U_BINV1,10,105,46,top
BX7,U_BINV1,11,104,46,top
B7,U_BINV1,12,103,46,top
SUB,U_BINV1,13,102,46,top
VCC,U_BINV1,14,101,46,underneath
SUM5,U_ADD1,1,96,62,top
BX5,U_ADD1,2,97,62,top
A5,U_ADD1,3,98,62,top
SUM4,U_ADD1,4,99,62,top
A4,U_ADD1,5,100,62,top
BX4,U_ADD1,6,101,62,top
C4,U_ADD1,7,102,62,top
GND,U_ADD1,8,103,62,underneath
C,U_ADD1,9,103,59,top
SUM7,U_ADD1,10,102,59,top
BX7,U_ADD1,11,101,59,top
A7,U_ADD1,12,100,59,top
SUM6,U_ADD1,13,99,59,top
A6,U_ADD1,14,98,59,top
BX6,U_ADD1,15,97,59,top
VCC,U_ADD1,16,96,59,underneath
OP0,U_LOG1,1,16,52,top
AND4,U_LOG1,2,16,53,top
OR4,U_LOG1,3,16,54,top
LOG4,U_LOG1,4,16,55,top
AND5,U_LOG1,5,16,56,top
OR5,U_LOG1,6,16,57,top
LOG5,U_LOG1,7,16,58,top
GND,U_LOG1,8,16,59,underneath
LOG7,U_LOG1,9,19,59,top
OR7,U_LOG1,10,19,58,top
AND7,U_LOG1,11,19,57,top
LOG6,U_LOG1,12,19,56,top
OR6,U_LOG1,13,19,55,top
AND6,U_LOG1,14,19,54,top
GND,U_LOG1,15,19,53,underneath
VCC,U_LOG1,16,19,52,underneath
OP0,U_AR1,1,80,64,top
SUM4,U_AR1,2,81,64,top
XOR4,U_AR1,3,82,64,top
AR4,U_AR1,4,83,64,top
SUM5,U_AR1,5,84,64,top
XOR5,U_AR1,6,85,64,top
AR5,U_AR1,7,86,64,top
GND,U_AR1,8,87,64,underneath
AR6,U_AR1,9,87,61,top
XOR6,U_AR1,10,86,61,top
SUM6,U_AR1,11,85,61,top
AR7,U_AR1,12,84,61,top
XOR7,U_AR1,13,83,61,top
SUM7,U_AR1,14,82,61,top
GND,U_AR1,15,81,61,underneath
VCC,U_AR1,16,80,61,underneath
OP1,U_FINAL1,1,30,52,top
AR4,U_FINAL1,2,30,53,top
LOG4,U_FINAL1,3,30,54,top
R4,U_FINAL1,4,30,55,top
AR5,U_FINAL1,5,30,56,top
LOG5,U_FINAL1,6,30,57,top
R5,U_FINAL1,7,30,58,top
GND,U_FINAL1,8,30,59,underneath
R6,U_FINAL1,9,33,59,top
LOG6,U_FINAL1,10,33,58,top
AR6,U_FINAL1,11,33,57,top
R7,U_FINAL1,12,33,56,top
LOG7,U_FINAL1,13,33,55,top
AR7,U_FINAL1,14,33,54,top
GND,U_FINAL1,15,33,53,underneath
VCC,U_FINAL1,16,33,52,underneath
GND,U_BUS,1,5,33,underneath
BUS0,U_BUS,2,5,34,top
BUS1,U_BUS,3,5,35,top
BUS2,U_BUS,4,5,36,top
BUS3,U_BUS,5,5,37,top
BUS4,U_BUS,6,5,38,top
BUS5,U_BUS,7,5,39,top
BUS6,U_BUS,8,5,40,top
BUS7,U_BUS,9,5,41,top
GND,U_BUS,10,5,42,underneath
R0,U_BUS,18,8,35,top
R1,U_BUS,17,8,36,top
R2,U_BUS,16,8,37,top
R3,U_BUS,15,8,38,top
R4,U_BUS,14,8,39,top
R5,U_BUS,13,8,40,top
R6,U_BUS,12,8,41,top
R7,U_BUS,11,8,42,top
OE_N,U_BUS,19,8,34,top
VCC,U_BUS,20,8,33,underneath
GND,U_ZERO,1,17,40,underneath
R0,U_ZERO,2,18,40,top
GND,U_ZERO,3,19,40,underneath
R1,U_ZERO,4,20,40,top
GND,U_ZERO,5,21,40,underneath
R2,U_ZERO,6,22,40,top
GND,U_ZERO,7,23,40,underneath
R5,U_ZERO,8,24,40,top
GND,U_ZERO,9,25,40,underneath
GND,U_ZERO,10,26,40,underneath
GND,U_ZERO,11,26,37,underneath
R4,U_ZERO,12,25,37,top
GND,U_ZERO,13,24,37,underneath
R7,U_ZERO,14,23,37,top
GND,U_ZERO,15,22,37,underneath
R6,U_ZERO,16,21,37,top
GND,U_ZERO,17,20,37,underneath
R3,U_ZERO,18,19,37,top
ZERO_N,U_ZERO,19,18,37,top
VCC,U_ZERO,20,17,37,underneath
GND,U_FLAGS,1,68,18,underneath
GND,U_FLAGS,2,67,18,underneath
F2,U_FLAGS,3,66,18,top
F0,U_FLAGS,4,65,18,top
F3,U_FLAGS,5,64,18,top
F1,U_FLAGS,6,63,18,top
CLK,U_FLAGS,7,62,18,top
GND,U_FLAGS,8,61,18,underneath
FLAGS_LOAD_N,U_FLAGS,9,61,21,top
GND,U_FLAGS,10,62,21,underneath
ZERO_N,U_FLAGS,11,63,21,top
V,U_FLAGS,12,64,21,top
C,U_FLAGS,13,65,21,top
R7,U_FLAGS,14,66,21,top
CLEAR,U_FLAGS,15,67,21,top
VCC,U_FLAGS,16,68,21,underneath
GND,U_FSEL,1,75,13,underneath
FS1,U_FSEL,2,75,14,top
F3,U_FSEL,3,75,15,top
F2,U_FSEL,4,75,16,top
F1,U_FSEL,5,75,17,top
F0,U_FSEL,6,75,18,top
FLAG,U_FSEL,7,75,19,top
GND,U_FSEL,8,75,20,underneath
GND,U_FSEL,10,78,19,underneath
GND,U_FSEL,11,78,18,underneath
GND,U_FSEL,12,78,17,underneath
GND,U_FSEL,13,78,16,underneath
FS0,U_FSEL,14,78,15,top
VCC,U_FSEL,15,78,14,underneath
VCC,U_FSEL,16,78,13,underneath
VCC,U_OVERFLOW,1,91,34,underneath
GND,U_OVERFLOW,2,92,34,underneath
GND,U_OVERFLOW,3,93,34,underneath
GND,U_OVERFLOW,4,94,34,underneath
V,U_OVERFLOW,5,95,34,top
GND,U_OVERFLOW,7,97,34,underneath
GND,U_OVERFLOW,8,98,34,underneath
SUM7,U_OVERFLOW,9,98,31,top
BX7,U_OVERFLOW,10,97,31,top
A7,U_OVERFLOW,11,96,31,top
GND,U_OVERFLOW,12,95,31,underneath
GND,U_OVERFLOW,13,94,31,underneath
GND,U_OVERFLOW,14,93,31,underneath
VCC,U_OVERFLOW,15,92,31,underneath
VCC,U_OVERFLOW,16,91,31,underneath
A1,J_A,1,58,1,top
A5,J_A,2,59,1,top
A2,J_A,3,60,1,top
A0,J_A,4,61,1,top
A4,J_A,5,62,1,top
A6,J_A,6,63,1,top
A7,J_A,7,64,1,top
A3,J_A,8,65,1,top
B0,J_B,1,67,75,top
B1,J_B,2,68,75,top
B5,J_B,3,69,75,top
B3,J_B,4,70,75,top
B4,J_B,5,71,75,top
B2,J_B,6,72,75,top
B7,J_B,7,73,75,top
B6,J_B,8,74,75,top
BUS0,J_BUS,1,1,34,top
BUS1,J_BUS,2,1,35,top
BUS2,J_BUS,3,1,36,top
BUS3,J_BUS,4,1,37,top
BUS4,J_BUS,5,1,38,top
BUS5,J_BUS,6,1,39,top
BUS6,J_BUS,7,1,40,top
BUS7,J_BUS,8,1,41,top
SUB,J_CTRL,1,1,7,top
GND,J_CTRL,2,1,8,underneath
OP0,J_CTRL,3,1,9,top
GND,J_CTRL,4,1,10,underneath
OE_N,J_CTRL,5,1,11,top
OP1,J_CTRL,6,1,12,top
CLK,J_FLAGS,1,1,63,top
FLAGS_LOAD_N,J_FLAGS,2,1,64,top
CLEAR,J_FLAGS,3,1,65,top
FS0,J_FLAGS,4,1,66,top
FLAG,J_FLAGS,5,1,67,top
FS1,J_FLAGS,6,1,68,top
GND,J_POWER,1,1,19,underneath
VCC,J_POWER,2,1,20,underneath
